presion_aceite,voltaje_bateria,voltaje_alternador,temp_vacio,temp_carga,nivel_refrigerante
5.75,11.8,12.3,61.0,86.61,1
0.79,12.61,14.51,51.34,74.28,1
3.35,13.3,12.35,51.78,55.77,1
5.2,10.43,12.31,66.84,72.2,1
9.85,9.61,14.56,58.03,81.13,1
2.34,10.62,13.44,54.73,87.46,1
3.09,10.71,14.41,70.0,76.46,1
6.22,12.19,15.84,51.96,75.2,1
6.51,13.6,15.83,53.76,84.75,1
6.22,12.51,12.79,54.19,88.49,1
5.69,11.62,12.97,53.88,78.19,0
5.22,10.98,9.68,72.71,88.48,1
2.5,13.32,19.74,86.61,87.77,1
2.21,11.83,17.22,52.08,54.63,0
4.53,10.42,13.04,65.31,82.99,0
3.78,13.48,13.42,38.39,75.91,1
6.61,12.85,14.24,67.01,82.99,1
9.1,11.37,14.54,38.38,74.12,0
3.22,10.88,14.4,70.86,81.74,1
9.28,12.12,12.85,90.54,71.5,1
5.37,11.27,12.75,59.78,78.01,1
2.36,10.33,13.28,110.33,77.3,1
4.94,10.98,15.38,54.3,89.29,1
6.15,10.98,12.84,53.06,74.33,1
4.54,11.33,12.45,65.78,62.75,1
3.01,8.08,13.34,61.98,86.81,1
6.55,10.14,17.04,75.17,87.78,1
2.85,15.1,8.01,71.82,82.81,0
2.86,13.01,13.89,69.14,81.0,1
4.53,12.51,13.43,54.64,77.43,1
5.07,13.06,12.72,65.95,81.83,1
3.27,6.29,14.82,64.14,70.68,1
0.68,11.59,12.72,50.37,85.79,1
1.12,13.5,13.92,56.82,88.3,1
6.02,10.95,12.98,52.41,71.43,1
6.34,10.1,13.9,68.87,86.08,1
5.67,11.91,13.85,71.92,75.22,1
5.52,13.33,13.56,69.01,88.37,1
4.61,12.94,15.81,66.97,88.21,1
8.53,12.4,9.9,58.02,46.73,1
5.62,11.99,12.3,56.42,77.43,1
3.66,10.5,12.45,62.25,72.42,1
8.31,11.3,17.09,58.04,126.94,1
4.3,11.62,12.78,70.23,72.88,1
5.38,11.4,14.15,56.03,83.3,1
0.98,10.76,16.99,67.9,70.8,1
3.04,12.54,15.21,54.19,89.28,1
5.17,11.34,13.88,67.01,80.3,1
4.11,10.3,15.28,63.54,82.64,1
5.2,13.32,12.62,60.2,85.56,1
4.9,12.77,14.57,63.77,74.95,1
5.6,10.23,15.22,54.85,87.24,1
4.27,12.39,15.77,69.5,85.58,1
1.51,16.19,15.33,74.16,121.98,1
6.89,12.8,14.27,57.96,70.18,1
3.11,11.28,15.4,53.33,86.33,1
5.33,14.54,13.07,57.34,73.05,1
5.74,10.23,13.43,20.76,83.66,1
3.92,12.8,13.93,56.94,79.66,1
2.48,11.34,12.58,61.39,76.02,1
3.44,10.21,15.44,70.78,81.57,1
5.52,13.6,14.53,61.93,126.35,1
3.52,13.14,12.72,29.67,88.55,1
2.17,13.2,13.02,59.69,72.24,1
4.92,10.74,18.38,68.54,124.85,1
2.33,11.87,14.58,60.46,74.76,0
3.15,12.15,11.72,76.7,76.81,1
2.8,10.6,13.95,73.96,83.67,1
2.99,10.47,13.81,62.91,81.68,1
2.52,12.36,12.66,50.67,81.81,1
4.85,10.51,13.14,70.47,84.33,1
5.93,13.27,13.27,58.04,87.14,1
2.61,6.77,14.44,66.2,106.58,0
4.82,10.33,17.6,66.51,74.78,1
4.1,12.91,10.55,61.65,88.8,1
2.43,12.03,12.62,69.52,83.88,1
9.64,10.78,13.16,20.54,76.74,1
4.21,5.23,18.76,52.0,88.96,1
5.18,12.55,10.88,53.49,81.76,1
2.33,10.19,15.33,61.71,74.41,1
2.8,10.96,13.25,74.41,70.89,1
0.56,15.77,13.28,52.17,85.78,1
2.86,11.37,12.95,60.14,86.34,1
2.85,11.15,14.29,53.18,81.95,1
4.03,12.71,12.72,50.34,75.61,1
4.62,13.32,15.04,61.07,77.61,1
6.72,11.48,15.28,50.63,88.43,1
3.6,10.35,13.72,66.87,73.36,1
2.6,10.45,12.17,66.32,80.29,0
2.47,12.48,12.21,55.42,54.3,1
5.71,13.02,14.78,70.93,74.12,1
4.79,14.51,15.01,58.0,84.41,1
5.37,15.66,14.68,54.71,89.85,1
4.9,10.79,13.57,57.52,77.4,1
5.38,8.53,15.84,40.15,101.12,1
4.16,13.03,15.43,74.23,84.9,1
4.44,9.37,13.24,64.52,78.21,1
2.45,13.59,13.46,70.81,87.4,1
6.37,10.37,13.81,60.72,79.17,1
6.53,11.14,13.68,72.5,88.96,1
2.93,10.62,13.74,68.77,78.78,1
4.78,17.38,17.55,69.48,85.68,0
3.66,10.86,15.72,74.01,86.04,1
0.93,10.8,14.93,74.74,88.17,1
4.41,11.98,13.69,62.52,71.14,1
4.77,11.24,15.1,72.46,84.48,0
5.35,14.81,19.14,68.84,63.09,1
0.94,12.58,15.75,62.88,44.49,1
5.78,13.41,13.82,67.17,80.87,1
4.64,11.3,10.4,56.76,79.48,1
6.26,11.47,9.89,57.06,76.58,1
7.9,16.53,15.48,66.26,97.19,0
5.82,13.17,19.19,119.22,128.54,1
2.97,12.18,15.07,59.69,96.23,1
6.55,11.18,13.53,56.78,82.78,1
4.04,12.79,14.13,32.54,49.78,1
3.46,11.37,14.23,50.39,71.88,1
1.72,13.12,14.47,23.39,73.16,0
5.23,10.18,11.52,55.9,82.54,1
4.19,12.7,15.7,67.07,71.6,1
5.84,10.67,15.7,72.27,87.19,1
2.29,10.19,15.4,74.74,74.42,1
5.62,10.96,12.27,53.99,83.55,1
3.69,11.69,15.8,113.89,80.31,1
4.02,10.31,12.47,51.87,75.81,1
4.8,11.62,13.03,50.53,75.37,1
4.72,12.55,12.64,52.07,75.62,0
6.56,12.43,12.94,55.89,73.08,1
4.7,13.75,14.56,50.63,82.51,1
3.06,14.15,14.66,50.77,71.74,1
5.7,8.37,16.61,46.99,45.4,1
1.54,16.1,10.44,71.59,76.26,1
5.69,11.26,14.87,55.95,86.11,1
6.37,12.04,12.28,32.52,73.35,1
2.39,17.68,16.22,61.81,88.98,1
6.38,11.84,12.66,22.85,82.08,1
6.38,12.16,13.65,56.02,71.72,1
5.33,13.13,15.07,63.38,112.93,1
5.61,10.95,13.47,75.18,81.83,1
3.0,11.46,12.63,55.88,86.93,1
1.21,16.5,12.66,60.47,75.81,1
2.54,12.99,14.96,66.69,71.9,1
5.13,13.42,12.21,68.87,58.88,1
4.82,10.51,14.49,58.07,72.94,1
5.41,12.15,11.0,62.19,71.09,1
5.43,13.84,15.86,55.1,59.99,1
2.37,10.58,12.65,61.67,75.82,1
6.72,12.04,15.85,50.41,81.04,1
3.49,11.23,16.31,67.72,78.45,1
5.03,11.14,12.55,50.63,89.62,1
2.7,12.52,14.58,67.55,121.32,1
4.69,13.84,14.91,29.09,70.63,1
5.35,13.42,14.68,69.07,82.31,0
6.02,11.6,12.75,61.29,83.84,1
6.18,12.24,15.38,60.65,83.97,1
4.16,13.25,14.42,68.17,75.22,1
6.35,10.44,15.53,69.22,72.5,1
7.6,10.79,15.79,65.79,78.78,1
5.96,17.73,12.15,57.73,75.6,1
2.45,13.54,12.3,85.0,78.28,1
4.62,13.66,14.36,70.07,81.86,1
2.7,12.74,14.48,72.6,86.15,1
6.34,11.35,14.26,51.94,85.96,1
4.31,12.71,13.28,52.09,85.35,0
6.02,10.15,13.23,50.33,72.34,1
5.29,12.98,14.23,60.34,74.24,1
5.97,11.36,15.52,68.93,83.85,0
5.77,10.89,13.78,22.99,89.49,1
9.72,13.16,14.53,69.01,44.35,0
1.73,10.74,15.4,32.08,73.92,1
0.79,14.67,12.62,37.97,70.76,1
1.3,10.26,12.4,63.66,73.25,1
5.76,13.1,12.89,71.15,71.21,1
2.48,10.23,14.08,54.92,76.33,1
3.17,10.74,12.84,52.42,87.02,1
4.11,11.28,12.63,73.79,75.65,1
9.3,11.68,17.26,67.67,53.72,0
3.23,11.25,13.31,51.19,78.11,1
4.36,10.38,15.88,66.39,79.47,0
3.01,12.43,14.15,51.68,89.46,1
4.37,10.23,12.59,68.78,81.94,1
3.96,12.73,12.86,67.47,70.11,1
6.58,9.13,12.98,75.58,80.35,1
3.98,11.34,13.14,59.89,73.23,1
2.71,10.52,14.23,64.57,83.32,1
3.93,13.02,12.8,74.77,81.19,1
3.23,12.33,12.37,61.0,78.32,1
4.79,10.53,19.75,65.38,70.89,1
4.49,11.86,15.26,74.95,78.22,1
4.16,12.88,15.25,63.91,82.46,1
3.12,10.68,19.68,33.06,73.87,1
5.66,9.29,13.8,77.0,128.64,1
6.39,5.01,14.37,54.69,74.63,1
7.64,13.0,15.3,85.6,127.94,1
6.38,16.37,14.5,66.83,102.12,1
6.0,11.92,13.16,52.24,78.65,1
4.38,11.76,13.33,75.04,74.17,1
0.92,16.6,15.19,67.02,74.18,1
3.4,13.02,15.54,61.72,54.76,1
6.36,5.01,15.84,71.82,76.05,1
6.01,12.7,12.44,74.38,75.02,1
4.86,11.87,13.34,54.23,83.13,1
5.92,7.12,15.11,50.97,72.9,1
4.6,12.44,14.31,55.92,75.33,1
4.98,12.45,12.79,73.48,78.09,1
3.71,12.56,15.71,67.86,83.3,1
7.62,9.89,14.96,106.75,49.63,1
2.15,12.64,13.35,55.19,79.84,1
3.95,12.2,15.89,70.57,86.23,1
3.02,13.58,14.14,54.32,83.28,1
2.81,13.08,14.1,73.1,86.32,1
4.19,10.82,12.67,75.2,79.04,1
6.16,10.55,14.13,83.8,79.45,1
2.9,12.42,14.15,69.15,76.85,1
5.6,12.69,14.33,59.81,75.32,0
4.08,9.23,14.1,54.83,88.15,1
4.7,11.46,14.25,70.53,79.04,1
3.23,13.23,12.26,66.53,80.2,1
3.54,13.47,12.28,54.85,82.0,1
6.48,13.15,14.26,58.33,73.91,1
3.48,10.89,12.34,60.25,111.86,1
4.7,13.04,15.09,75.74,71.63,1
4.25,13.78,15.37,54.76,74.38,1
3.72,10.62,10.75,72.51,89.65,1
3.52,12.1,14.65,64.76,74.97,1
5.96,7.69,12.43,105.41,43.87,1
7.58,8.16,12.44,68.01,86.6,1
3.22,11.68,14.22,24.5,110.85,1
4.47,11.52,16.76,76.5,44.24,1
2.77,12.32,15.81,56.95,74.45,1
0.59,8.14,18.92,56.17,88.08,1
1.13,12.43,13.73,58.0,62.32,1
4.8,13.63,15.01,73.65,74.17,1
5.72,11.47,12.15,67.08,76.84,1
2.32,12.65,13.53,64.42,73.86,1
3.03,13.43,14.86,58.1,74.89,1
5.59,12.34,14.78,64.46,74.91,1
4.33,12.91,15.46,105.98,70.91,1
4.59,12.55,12.57,55.1,83.41,1
4.93,10.17,13.34,38.97,83.38,0
4.72,10.24,15.43,53.9,85.62,0
4.46,11.71,15.78,60.57,87.72,1
3.91,13.39,17.82,55.46,69.41,1
9.36,12.52,18.49,59.27,76.51,1
3.49,13.35,13.26,64.65,76.24,1
6.04,10.2,13.4,61.74,85.98,1
6.1,12.94,12.61,74.11,81.13,1
4.6,12.84,15.68,50.32,76.66,1
5.95,11.47,14.56,75.87,82.0,1
4.55,17.31,13.4,58.72,82.31,1
5.86,12.02,18.77,62.1,88.94,1
4.77,11.43,13.74,39.03,87.72,1
4.27,10.29,14.8,62.83,71.65,1
6.1,10.31,12.52,55.25,74.08,1
3.07,12.41,12.76,60.11,77.05,1
8.18,15.79,17.93,60.57,79.23,0
6.64,12.8,16.16,59.43,59.35,1
1.17,15.58,17.37,70.09,82.67,1
3.37,10.48,12.68,50.14,70.11,1
3.8,10.58,15.48,52.39,83.67,1
8.8,12.03,19.96,56.0,72.15,0
9.71,14.91,10.4,20.75,85.44,1
5.12,12.22,15.62,65.85,43.3,1
5.17,12.15,14.61,69.6,85.41,1
2.47,12.71,15.7,70.2,89.87,1
7.47,10.89,18.86,89.44,83.9,0
4.44,15.65,14.42,33.5,75.86,0
3.4,10.87,14.8,65.99,85.11,1
8.12,7.47,16.58,54.83,84.73,1
6.63,13.34,12.67,52.8,83.65,1
1.18,5.45,14.95,62.71,77.5,1
7.27,11.74,14.35,109.72,103.41,1
5.6,12.28,15.79,56.75,76.22,1
3.2,5.91,16.49,73.52,88.49,1
2.56,12.26,12.78,60.87,87.09,1
3.93,13.03,13.62,57.26,87.0,1
9.96,10.26,14.59,75.38,73.28,1
0.53,15.02,13.93,45.5,64.94,1
2.26,5.67,15.85,64.32,89.62,1
5.1,16.73,19.28,60.26,85.25,1
4.68,10.17,13.21,66.82,77.32,1
4.14,13.26,15.51,56.44,70.94,1
2.38,12.03,12.41,66.15,88.49,1
6.58,12.12,14.56,67.23,113.86,1
5.42,10.25,15.48,56.13,87.54,1
2.83,11.87,12.88,99.04,89.29,1
3.96,10.39,14.61,53.55,88.23,1
0.66,6.46,12.18,64.6,48.7,1
2.13,13.88,14.14,102.23,87.36,1
2.52,11.27,12.65,69.96,80.76,1
3.06,15.84,12.32,69.81,88.95,1
6.89,6.34,14.45,75.1,83.96,1
3.01,11.85,15.18,59.64,75.82,1
2.32,11.72,15.47,64.95,89.19,1
4.38,10.1,15.5,59.48,82.59,1
4.57,12.83,14.35,62.73,71.11,1
3.28,10.79,15.16,59.43,89.06,1
6.36,11.49,13.92,67.15,83.68,1
3.62,11.48,15.84,66.19,121.32,1
4.84,10.16,14.62,57.31,62.96,1
1.84,11.07,9.14,113.71,72.89,0
2.2,13.28,15.66,58.05,76.9,1
3.86,10.46,12.15,71.22,75.2,1
2.38,11.71,14.0,57.78,82.09,1
6.05,17.59,14.89,75.23,75.75,1
6.38,17.14,12.42,25.96,63.34,1
2.2,13.0,14.22,74.75,71.99,1
4.91,14.48,13.95,65.05,82.04,0
5.85,11.92,15.38,91.76,72.54,1
6.74,13.46,15.1,59.84,89.84,1
1.39,5.94,15.78,70.49,48.51,1
6.58,12.58,15.11,70.77,83.64,1
2.22,10.23,14.38,60.1,86.6,1
2.66,12.01,15.68,24.67,72.22,1
1.59,8.68,14.47,47.32,77.46,1
3.84,12.35,15.06,75.3,81.44,1
4.1,12.1,19.0,66.34,74.34,1
6.5,10.49,14.18,65.23,76.47,1
4.73,7.02,15.29,63.94,78.42,1
6.54,13.21,13.46,66.67,81.5,1
8.63,11.59,12.56,71.93,85.26,1
8.02,6.16,16.47,63.33,129.7,1
3.55,11.1,12.34,68.92,83.41,1
5.8,12.29,12.17,70.68,78.18,1
2.21,10.64,12.52,50.81,87.94,1
0.71,11.29,10.69,22.33,81.67,1
5.94,10.97,15.54,57.75,82.75,1
4.01,13.28,14.93,50.77,86.2,1
1.13,10.61,13.95,21.8,119.76,1
3.41,12.59,14.17,29.06,85.93,1
2.38,10.63,15.62,73.51,121.84,1
6.57,10.73,14.65,63.18,86.97,1
4.3,12.02,15.61,52.49,47.72,0
6.44,10.62,13.2,58.02,73.43,1
6.88,13.3,16.81,71.57,75.27,1
2.95,11.06,13.07,57.29,88.69,1
4.4,11.75,18.0,68.51,73.03,1
5.81,13.8,13.31,63.89,82.9,1
4.84,11.06,9.15,68.45,83.42,1
4.37,12.78,14.84,51.73,101.68,1
3.55,11.32,13.78,65.64,73.86,1
5.94,13.26,15.2,69.31,71.74,1
4.93,17.4,14.55,96.24,80.88,1
1.67,7.25,17.17,63.45,70.82,1
5.26,13.77,13.83,51.54,93.12,1
4.65,12.82,15.23,73.38,83.78,1
6.13,10.57,15.19,51.9,75.86,1
2.74,10.9,14.93,65.95,78.41,1
2.45,6.17,17.45,80.47,80.41,1
1.59,12.54,12.37,63.51,89.13,1
9.3,12.45,14.0,69.8,89.38,1
4.84,10.73,15.18,66.74,77.36,1
3.64,12.8,13.08,69.75,43.24,1
4.23,9.71,14.01,21.2,101.14,1
2.25,10.35,12.73,71.51,79.32,1
0.9,12.5,14.8,64.87,84.06,1
6.4,12.46,12.56,75.73,72.43,1
1.17,11.8,15.75,69.49,83.37,1
5.03,10.73,18.91,71.84,83.28,1
4.14,11.56,15.89,63.74,89.01,1
5.37,7.6,12.85,55.28,78.07,1
5.02,8.5,16.74,33.34,89.71,1
5.53,11.91,14.45,71.69,86.19,1
2.4,13.04,14.44,44.08,86.81,1
4.69,10.9,14.57,69.09,88.31,1
5.14,12.98,14.31,73.07,108.27,1
6.7,13.78,12.48,55.38,72.87,1
5.98,11.34,15.23,63.98,87.05,1
4.58,13.82,12.73,51.1,85.68,1
5.46,13.03,14.65,74.83,77.32,1
1.51,13.09,14.8,28.97,124.66,1
6.87,10.16,13.27,51.58,84.43,1
3.94,12.17,12.85,58.45,82.72,1
3.63,11.77,14.08,75.57,78.32,1
5.7,13.25,14.24,52.87,87.11,1
6.03,11.27,15.41,54.94,88.29,1
2.44,13.41,14.97,51.41,83.81,1
3.75,12.23,15.77,59.55,81.04,1
5.83,9.86,11.51,107.75,71.93,0
3.02,10.97,13.01,56.03,76.44,1
6.03,12.23,15.88,61.86,86.23,1
6.25,12.1,13.79,67.38,78.73,1
2.7,11.41,13.55,59.21,71.12,1
5.7,11.69,15.17,71.49,71.82,1
4.57,10.16,14.33,74.84,74.9,1
6.29,13.66,14.65,51.64,76.7,1
6.65,11.38,12.11,73.49,74.19,1
5.52,17.58,14.36,70.38,105.14,0
4.7,10.34,12.34,73.71,70.13,1
2.7,10.14,14.73,59.15,77.36,1
6.74,13.73,12.45,64.6,59.37,1
4.52,11.84,15.21,74.87,89.1,1
2.6,13.82,12.24,50.57,57.57,1
4.64,11.13,15.79,68.33,87.98,1
4.16,11.63,14.91,58.42,83.99,1
3.51,10.62,14.09,72.13,77.22,1
5.05,13.28,13.03,71.51,72.32,1
7.13,10.84,12.3,74.81,89.81,1
5.06,11.43,12.14,49.41,75.66,1
4.48,11.54,12.22,71.91,74.26,1
3.07,11.74,14.4,54.5,76.51,1
2.22,11.34,12.53,60.17,77.12,1
3.09,11.41,15.4,81.57,79.73,1
6.42,13.83,14.64,58.61,79.65,1
7.55,10.41,10.3,57.96,72.94,0
4.56,10.14,19.56,92.51,115.85,1
5.44,15.09,15.63,60.95,72.81,1
6.53,12.91,18.3,64.31,87.78,1
6.43,11.33,13.29,75.69,70.5,1
2.52,11.77,12.46,55.31,75.32,1
5.47,13.63,15.22,54.98,73.65,1
2.97,12.38,15.09,55.24,89.16,1
5.07,13.32,12.84,54.53,73.04,1
0.69,11.32,13.97,101.38,94.55,1
3.39,11.7,19.44,60.65,93.23,1
5.93,14.95,8.6,55.53,76.15,1
2.9,13.71,15.14,53.53,80.34,1
5.38,11.18,14.42,52.43,85.17,1
4.08,10.86,13.6,68.33,84.85,1
5.49,11.68,13.63,75.3,89.03,1
3.9,13.78,15.0,37.47,86.43,1
6.39,12.3,12.5,52.75,85.68,1
3.57,17.31,15.13,72.46,85.78,1
2.36,11.11,14.83,74.06,74.62,1
6.11,12.26,13.93,54.64,73.13,1
5.21,10.94,14.18,68.99,83.96,1
2.29,12.29,12.5,71.24,87.57,1
8.68,13.73,13.55,79.98,77.2,0
0.94,13.53,11.25,69.87,41.71,1
4.76,12.16,15.27,74.35,73.29,1
6.55,12.87,15.77,61.8,76.27,1
2.48,11.2,15.7,61.67,81.05,1
2.83,17.59,15.39,72.77,73.17,1
1.68,10.24,14.92,72.96,74.93,1
3.43,11.39,14.15,55.91,70.71,1
3.87,12.41,13.82,62.32,89.72,1
2.49,12.36,15.78,96.82,88.98,1
0.91,13.58,12.6,58.14,81.27,1
4.06,12.51,14.24,72.52,76.94,1
3.39,10.12,10.7,75.65,75.23,1
1.87,10.12,14.31,68.78,79.38,1
2.14,7.75,14.59,74.15,72.65,1
5.21,10.63,12.9,75.59,86.93,1
6.16,12.14,14.84,87.12,59.97,1
7.82,12.99,17.6,113.69,123.16,1
2.18,13.61,15.26,64.09,80.78,1
6.01,12.26,9.4,65.14,83.22,1
4.66,12.34,15.02,70.22,82.13,1
4.5,11.25,12.63,54.11,75.99,1
2.93,13.4,13.7,62.96,86.12,1
5.72,11.84,13.64,65.94,78.62,1
4.33,12.41,13.85,51.86,88.17,1
5.12,12.49,15.18,58.77,89.76,1
3.87,10.72,13.18,63.89,77.46,1
4.65,11.09,14.93,62.88,74.51,1
6.73,11.51,14.93,67.67,73.14,1
6.27,10.41,14.59,68.33,76.0,1
3.7,11.74,14.59,62.68,76.93,0
4.15,17.34,15.56,103.53,89.14,1
2.36,12.26,11.71,71.96,72.47,1
5.68,12.7,13.09,73.02,89.89,1
3.43,8.71,10.93,55.8,82.22,0
4.44,13.82,15.88,50.38,75.79,1
4.7,13.5,12.49,66.82,78.4,1
9.75,12.2,9.77,102.87,81.67,1
5.84,12.38,15.12,75.57,116.31,1
8.15,11.62,12.64,67.05,83.87,1
1.43,16.49,13.83,36.69,81.17,0
2.3,5.71,14.87,51.92,71.96,1
6.42,13.7,13.06,72.16,70.58,1
3.14,12.36,15.79,70.84,89.14,1
5.34,12.29,12.19,66.7,66.7,1
6.24,10.91,14.78,74.67,82.54,1
6.46,12.4,11.12,60.12,87.25,1
4.74,10.86,14.75,72.41,86.57,1
3.53,15.71,14.98,59.39,82.31,1
5.03,13.87,14.31,71.27,82.24,1
4.19,11.87,13.61,58.52,87.3,1
2.76,10.18,15.32,63.02,119.38,0
3.26,10.21,14.41,111.08,79.64,1
6.18,15.28,11.54,71.54,86.37,1
1.73,5.17,13.95,69.12,73.01,1
6.74,10.66,19.88,70.65,75.57,1
2.96,11.97,15.55,56.17,81.2,1
6.32,10.92,13.16,69.87,127.19,1
4.04,11.52,10.96,58.96,87.28,1
3.83,16.15,12.21,57.38,72.21,1
2.44,11.11,14.76,65.08,82.64,0
5.26,10.6,8.31,59.58,79.44,1
8.3,17.32,13.05,118.55,72.59,1
5.24,12.88,14.82,64.37,71.79,1
5.04,13.44,12.84,73.2,81.17,1
6.41,11.39,14.31,57.09,74.43,1
4.29,7.46,19.85,97.87,74.67,0
6.74,10.74,13.33,50.61,79.09,1
3.04,12.39,15.18,75.19,88.53,1
4.27,12.24,14.6,69.17,50.31,1
4.66,11.66,14.9,72.1,76.57,1
3.62,12.86,15.75,50.28,72.33,0
2.94,13.27,15.02,68.64,73.31,1
4.9,10.42,13.6,57.52,81.27,1
4.36,10.95,16.61,38.66,94.68,1
3.85,10.78,13.07,67.73,77.17,1
2.48,11.21,14.61,68.42,87.17,0
5.02,12.79,14.65,57.54,79.29,1
2.3,11.29,13.6,74.19,77.39,1
2.46,13.11,13.85,75.53,80.49,1
2.57,10.74,15.06,75.16,77.74,1
4.04,13.41,15.19,74.03,83.61,1
4.17,11.82,13.9,73.17,77.81,1
6.87,10.9,14.68,29.99,82.81,1
5.08,11.16,13.29,57.57,74.4,1
3.84,10.61,13.66,64.19,83.9,1
5.28,10.9,8.01,55.99,76.21,1
7.21,17.02,14.72,55.16,43.89,0
3.61,12.63,15.48,54.93,89.88,1
5.83,12.13,14.37,57.39,122.52,1
2.7,15.1,13.25,65.37,64.15,1
5.82,11.07,13.21,71.95,83.6,1
5.79,10.95,12.77,63.16,78.4,1
3.99,13.1,16.42,62.59,72.93,1
9.85,10.94,9.76,86.16,74.05,0
3.54,12.01,12.53,51.67,77.69,1
1.54,13.26,8.45,75.19,44.87,1
5.9,10.56,14.91,60.14,85.58,1
2.28,13.4,12.3,62.72,74.34,1
5.01,13.05,12.26,54.36,81.66,1
6.52,11.49,13.77,60.59,74.35,1
3.54,11.93,13.96,75.85,85.51,1
4.27,10.84,12.52,59.67,85.74,1
3.56,6.04,19.63,44.44,71.62,1
4.97,11.27,12.39,100.69,83.63,1
4.68,12.44,13.61,68.48,71.54,1
5.35,10.36,12.2,64.77,80.1,1
3.94,12.13,15.36,61.99,80.22,1
5.08,9.81,13.42,74.51,111.46,1
2.18,13.8,13.51,69.59,85.33,1
6.05,12.42,15.9,68.84,87.4,1
5.76,11.32,14.29,57.49,70.14,1
2.41,12.9,8.84,22.6,93.32,1
1.73,14.54,19.6,62.72,76.2,0
0.8,12.84,13.75,53.21,84.42,1
5.62,10.1,13.5,80.7,75.18,1
4.37,13.59,12.51,55.0,89.58,1
4.85,12.97,12.47,33.69,85.95,1
3.87,12.11,15.27,64.72,49.42,1
4.26,12.03,15.25,58.64,85.55,1
4.08,13.57,13.85,56.35,52.37,1
4.47,13.85,12.19,30.46,82.33,1
0.94,12.73,18.79,72.83,59.13,1
9.79,8.75,16.88,50.11,99.62,1
4.64,10.41,15.01,32.89,78.13,1
9.49,10.73,12.34,66.79,84.68,1
7.66,10.15,13.89,65.37,84.28,1
1.64,11.56,9.53,57.39,73.98,0
